Dialogue_ID;Utterance_ID;Emotion;Sentiment
0;0;neutral;neutral
0;1;neutral;neutral
0;2;neutral;neutral
0;3;neutral;neutral
0;4;surprise;positive
0;5;neutral;neutral
0;6;neutral;neutral
0;7;neutral;neutral
0;8;neutral;neutral
0;9;neutral;neutral
0;10;fear;negative
0;11;neutral;neutral
0;12;surprise;positive
0;13;neutral;neutral
1;0;surprise;negative
1;1;sadness;negative
1;2;surprise;negative
1;3;fear;negative
1;4;neutral;neutral
1;5;neutral;neutral
1;8;neutral;neutral
2;0;neutral;neutral
2;1;neutral;neutral
2;2;joy;positive
2;3;sadness;negative
2;4;surprise;negative
2;5;neutral;neutral
2;6;disgust;negative
2;7;sadness;negative
2;8;neutral;neutral
2;9;neutral;neutral
2;10;joy;positive
2;11;neutral;neutral
2;12;joy;positive
3;0;surprise;negative
3;1;surprise;negative
3;2;surprise;negative
3;3;neutral;neutral
3;4;neutral;neutral
3;5;neutral;neutral
3;6;surprise;negative
3;8;sadness;negative
3;9;neutral;neutral
4;0;surprise;positive
4;1;joy;positive
4;2;surprise;positive
4;3;neutral;neutral
4;4;neutral;neutral
4;5;neutral;neutral
4;6;neutral;neutral
4;7;neutral;neutral
4;8;joy;positive
4;9;joy;positive
4;10;joy;positive
4;11;sadness;negative
4;12;neutral;neutral
4;13;neutral;neutral
4;14;neutral;neutral
5;0;neutral;neutral
5;1;neutral;neutral
5;2;neutral;neutral
5;3;surprise;positive
6;0;joy;positive
6;1;surprise;positive
6;2;joy;positive
6;3;neutral;neutral
6;4;neutral;neutral
6;5;anger;negative
6;6;joy;positive
6;7;neutral;neutral
6;8;surprise;negative
6;9;anger;negative
6;10;anger;negative
6;11;anger;negative
6;12;neutral;neutral
6;13;neutral;neutral
6;14;sadness;negative
6;15;sadness;negative
6;16;sadness;negative
6;17;surprise;negative
6;18;anger;negative
6;19;anger;negative
6;20;anger;negative
6;21;anger;negative
7;0;neutral;neutral
7;1;anger;negative
8;0;neutral;neutral
8;1;neutral;neutral
8;2;neutral;neutral
8;3;neutral;neutral
8;4;joy;positive
8;5;neutral;neutral
8;6;joy;positive
9;0;neutral;neutral
9;1;neutral;neutral
9;2;neutral;neutral
9;3;joy;positive
9;4;neutral;neutral
9;5;neutral;neutral
9;6;neutral;neutral
9;7;neutral;neutral
9;8;neutral;neutral
9;9;joy;positive
9;10;neutral;neutral
9;11;neutral;neutral
9;12;disgust;negative
9;13;anger;negative
10;0;anger;negative
10;1;anger;negative
10;2;anger;negative
10;3;anger;negative
10;4;anger;negative
10;5;neutral;neutral
11;0;neutral;neutral
11;1;anger;negative
11;2;neutral;neutral
11;3;joy;positive
11;4;neutral;neutral
11;5;neutral;neutral
11;6;joy;positive
11;7;joy;positive
11;8;joy;positive
11;9;joy;positive
12;0;neutral;neutral
12;1;joy;positive
12;2;disgust;negative
12;3;surprise;negative
12;4;disgust;negative
12;5;neutral;neutral
12;6;fear;negative
12;7;neutral;neutral
12;8;surprise;negative
12;9;fear;negative
12;10;disgust;negative
12;11;anger;negative
13;0;joy;positive
13;1;neutral;neutral
13;2;surprise;positive
13;3;neutral;neutral
14;0;neutral;neutral
14;1;neutral;neutral
14;2;neutral;neutral
14;3;surprise;positive
14;4;neutral;neutral
14;5;neutral;neutral
15;0;anger;negative
15;1;neutral;neutral
15;2;neutral;neutral
15;3;sadness;negative
15;4;surprise;negative
15;5;sadness;negative
15;6;anger;negative
15;7;sadness;negative
15;8;neutral;neutral
15;9;sadness;negative
15;10;neutral;neutral
15;11;neutral;neutral
15;12;neutral;neutral
15;13;neutral;neutral
15;14;neutral;neutral
15;15;joy;positive
15;16;anger;negative
15;17;anger;negative
15;18;anger;negative
15;19;neutral;neutral
15;20;anger;negative
15;21;joy;positive
15;22;joy;positive
16;0;joy;positive
16;1;joy;positive
16;2;disgust;negative
16;3;surprise;negative
16;4;neutral;neutral
16;5;neutral;neutral
17;0;anger;negative
17;1;joy;positive
17;2;neutral;neutral
17;3;neutral;neutral
17;4;fear;negative
17;5;neutral;neutral
17;6;fear;negative
17;7;joy;positive
17;8;joy;positive
17;9;joy;positive
17;10;joy;positive
18;0;neutral;neutral
18;1;neutral;neutral
18;2;neutral;neutral
18;3;joy;positive
18;4;neutral;neutral
18;5;joy;positive
18;6;fear;negative
18;7;neutral;neutral
18;8;sadness;negative
18;9;surprise;positive
18;10;fear;negative
19;0;neutral;neutral
19;1;neutral;neutral
20;0;neutral;neutral
20;1;joy;positive
20;2;joy;positive
20;3;joy;positive
20;4;joy;positive
20;5;joy;positive
20;6;joy;positive
20;7;joy;positive
20;8;neutral;neutral
20;9;neutral;neutral
20;10;neutral;neutral
20;11;neutral;neutral
20;12;joy;positive
20;13;joy;positive
20;14;joy;positive
20;15;surprise;positive
20;16;neutral;neutral
21;0;surprise;negative
21;1;neutral;neutral
21;2;joy;positive
21;3;surprise;positive
21;4;neutral;neutral
21;5;surprise;positive
21;6;anger;negative
21;7;neutral;neutral
21;8;disgust;negative
21;9;neutral;neutral
21;10;neutral;neutral
21;11;disgust;negative
21;12;neutral;neutral
21;13;joy;positive
22;0;disgust;negative
22;1;neutral;neutral
22;2;surprise;negative
22;3;neutral;neutral
23;0;surprise;negative
23;1;anger;negative
23;2;surprise;negative
23;3;joy;positive
23;4;neutral;neutral
23;5;neutral;neutral
23;6;neutral;neutral
23;7;neutral;neutral
23;8;surprise;negative
24;0;neutral;neutral
24;1;neutral;neutral
24;2;neutral;neutral
24;3;joy;positive
24;4;surprise;positive
24;5;neutral;neutral
24;6;neutral;neutral
24;7;joy;positive
24;8;fear;negative
25;0;joy;positive
25;1;joy;positive
25;2;joy;positive
25;3;joy;positive
25;4;neutral;neutral
25;5;neutral;neutral
25;6;neutral;neutral
25;7;neutral;neutral
25;8;neutral;neutral
25;9;neutral;neutral
25;10;neutral;neutral
25;11;surprise;positive
25;12;neutral;neutral
25;13;neutral;neutral
26;0;surprise;negative
26;1;neutral;neutral
26;2;surprise;positive
26;3;neutral;neutral
26;4;neutral;neutral
26;5;joy;positive
26;6;joy;positive
26;7;joy;positive
26;8;neutral;neutral
26;9;neutral;neutral
26;10;neutral;neutral
26;11;sadness;negative
26;12;neutral;neutral
26;13;neutral;neutral
27;0;sadness;negative
27;1;joy;positive
28;0;anger;negative
28;1;anger;negative
28;2;anger;negative
28;3;joy;positive
28;4;fear;negative
28;5;joy;positive
28;6;fear;negative
28;7;sadness;negative
29;0;surprise;positive
29;1;joy;positive
29;2;neutral;neutral
29;3;joy;positive
29;4;surprise;negative
29;6;anger;negative
29;7;anger;negative
29;8;anger;negative
29;9;neutral;neutral
29;10;anger;negative
29;11;anger;negative
29;12;surprise;positive
29;13;neutral;neutral
30;0;neutral;neutral
30;1;joy;positive
30;2;neutral;neutral
30;3;neutral;neutral
30;4;anger;negative
30;5;surprise;positive
30;6;anger;negative
30;7;fear;negative
30;8;neutral;neutral
30;9;neutral;neutral
30;10;neutral;neutral
30;11;fear;negative
30;12;neutral;neutral
30;13;neutral;neutral
30;14;anger;negative
30;15;surprise;negative
31;0;neutral;neutral
31;1;neutral;neutral
31;2;neutral;neutral
31;3;neutral;neutral
