Utterance,Emotion
Filing system?,neutral
"Yeah, but Jason's really sensitive.",neutral
Well,neutral
"Guess who's here. It's the toughest guy in toy land, Ben.  'A real American hero. I'm",neutral
"Yeah, we got him back. Everything’s fine.",neutral
"Hello?  No she can’t come to the phone right now.  Oh, right no problem. Okay, bye-bye.",neutral
Yeah.,neutral
"Yeah! Hi Emma. Hey, why do you think she won’t take my  breast?",neutral
I’m 33.,neutral
Bijan for men?  Bijan for men?  Bijan for men?,neutral
How long is this gonna take? ‘Cause I got another critic to go yell at.,neutral
"If this is about those prank memos, I had nothing to do with them.",neutral
I could have birds.,neutral
"Monica, that was also true an",neutral
Thank you.,neutral
Okay.,neutral
"Oh, oooh. I'm sorry. You are not allowed on the jetway unless you have a boarding pass.",neutral
"No. But it’s okay, I’ll just put out pickles or something.",neutral
"I got it. Uh, Joey, women don't have Adam's apples.",neutral
I,neutral
"Okay, shoot.",neutral
And in the meantime you better let him drive. Does he have a license?,neutral
"Rachel, this is my friend Tom.",neutral
"Oh don’t worry, I’m not really a party girl.",neutral
"Y'know, that's-that's fine, but the line is, ""Hmm, soup.""",neutral
I’m not freaking out.,neutral
Are they here yet?,neutral
"And whatever you say, I'll believe ya.",neutral
"Phoebe, what's the matter?",neutral
Always.,neutral
"Did you like her? And I’m just asking as a friend, because I am totally fine with this.",neutral
Nooo.,neutral
Brooklyn Heights.,neutral
"Ooh, I think I wanna trade circles.",neutral
I’m not even… I’m not even,neutral
"Well, how long do you think it'll be?",neutral
"Hey Rach! Hey, you mind if I read my comic books in here?",neutral
It's a diaper commercial.,neutral
"Yeah, uh, uh, ok, there's this great rare bookstore on Madison    Avenue.",neutral
She-she thinks that you’re just using me.,neutral
"Well, y’know I’m 29. I mean who needs a savings account.",neutral
"Well, uh, I-I don't know. See when-when you put it that way y'know it does sort of",neutral
"I know you really wanted me to name the baby Joey, but eh, so, I’m-I’m, I’m gonna, I’m gonna name the baby Chandler.",neutral
"Oh well, you're timing couldn't be better. I am putting out fires all over the place.",neutral
What?,neutral
"I got a big date coming up, do you know a good restaurant?",neutral
I guess you don't.,neutral
"Okay. Um…But—Okay, yes Ross and I used to date. And yes we are gonna have a baby. But we are",neutral
You wouldn’t happen to have a very big fork?,neutral
"Sir? Sir? Excuse me, sir? Uh... I have a message for you.",neutral
"Umm, hey, umm, Joey's gonna be at the telethon for the rest of the day, we have the whole place to ourselves.",neutral
Don’t spoil it.,neutral
"Yes, and she's very supportive.",neutral
"Umm. Well, there’s Rachel, and umm, I think that’s it. How bout you?",neutral
"Okay.  We are at a rest stop on Route 27. Okay.  There is no Route 27.   Okay, either 93 or 76?",neutral
"Oh, that's",neutral
Back on in 30 seconds people!,neutral
"Well, sure...just a sec, though, 'cause Paolo's on his way over.",neutral
Dude! What are yo—you trying to kill me?!,neutral
I'll even let you ring the bell.,neutral
"No, but let’s come back to that later!",neutral
Bye.,neutral
"Hey, if mommy can have a wife, daddy can have a bra.",neutral
G.I. Joe,neutral
All right I’ll have one.,neutral
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,neutral
Yeah. That-that was the problem.,neutral
Can I ask you somethin'?,neutral
"Oh, sure, Valentine's is our busiest night of the year.",neutral
"Umm, it’s Cutie McPretty.",neutral
Shh.,neutral
"Ok, and I have the, uh receipt for my dinner with Nokululu Oon Ah Ah.",neutral
"Yeah, you like that don’t you?",neutral
"Ok, Barry's letters. Adam Ritter's boxer shorts.",neutral
"Yeah no, I’m telling you Rachel has such a great eye for this stuff.",neutral
"No-no, this is my collection of fossil samples.",neutral
"Okay, y'know what uh, actually, that's great. That helps a lot. Thanks.",neutral
No. We were in the middle of sex…and,neutral
I notice that you’ve been trusted with a lot of rather important responsibilities.,neutral
It’s been a long walk from the flower shop and I was startin’ to feel faint so,neutral
"All right let me see.  Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?",neutral
"Well, who's to say what's true? I mean...",neutral
"Wait a second! This is about the fourth month of your pregnancy, right?",neutral
Well then we still have a problem.,neutral
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral
No.,neutral
Hey.,neutral
"Okay, it’ll take just a little while to prepare the embryos.",neutral
"All right, I have one question.",neutral
A four and a nine.,neutral
All right.,neutral
"I mean... uh, did you know you were  mouthing the words along with me?",neutral
"Have I read it?  No, are you enjoying it?",neutral
"Oh that’s not important. The point is, I really—I think everything’s gonna be okay.",neutral
"I'm sorry. Christmas is a very busy time, sir.",neutral
"Yeah, well it came to about $112, but what the hell, just call it an even 110?",neutral
"I mean, you know, we've never really talked.",neutral
Did he mention us?,neutral
"Okay, go ahead.",neutral
"Okay, let me just get a cup of coffee.",neutral
"...and he couldn’t let it go, and... I don’t really know what happened with that either.",neutral
"Oh and keep in mind, now, I was carrying triplets so in, y’know, medical terms I was-I was thrice as randy.",neutral
"Listen, we both know you’re gonna do it ‘cause you’re not a jerk.",neutral
Do you wanna?,neutral
"Well, I-I want to give her another chance, y’know?",neutral
"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",neutral
"No, Gary Collins is the host. You'll be answering the phones.",neutral
Uh-huh.,neutral
"Okay, I understand why",neutral
Y'know it’s ironic...,neutral
Well of,neutral
"So that’s dumb what I said, don’t tell him I said that.",neutral
"Uh, y'know what, we’re having second thoughts about our copying needs. And we’ll need a little more time to think about it.",neutral
"Oh, yeah, no, I know, I-I haven't been using it much.",neutral
"Yeah, come on in.",neutral
"Yeah. Just, if it’s possible, could you leave him somewhere and go have sex with another guy?",neutral
"Well you let me know if you can, because y’know I can bake a pie to cover it.",neutral
"No, it's about all women. Well, all American women. You feel better now?",neutral
Why would I be freaking out?,neutral
"Well, y’know I may have relatives in France who would know. My grandmother said she got the recipe from her grandmother, Nesele Tolouse.",neutral
"Bijan for...   Hey, Annabelle, Uh, listen, I was wondering if maybe after work you and I could go maybe grab a cup of coffee.",neutral
"Yeah, well, it's an important day. I wanna look nice. Um, has uh Dr. Franzblau been by?",neutral
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral
Would you ever be a surrogate for anyone?,neutral
Well… It’s a date.,neutral
Oh... Milwaukee.,neutral
Was it her quarter?,neutral
All right fine! This looks like so much fun.,neutral
Basically we just feel that he's...,neutral
You didn’t just break up.,neutral
Yeah. Right.,neutral
Wanna peek?,neutral
"Yes, second in two years. Third overall.",neutral
Oh.. oh... oh.,neutral
"No-no, no! We have to move the table into my room, yeah! 'Cause of all the boxes. Come on!",neutral
"Okay, you're coming with me, and I also told them that if we're still here when they get off that we'll go down to the cafeteria and have some",neutral
"Oh, I mean she’s gonna be at the wedding waiting for him and people will be whispering, ""Oh that poor girl.""",neutral
And the-the calming sounds of the babbling brook....,neutral
Did you tell him about my thquirt gun idea?,neutral
"Ohh, you are",neutral
He's our friend.,neutral
"You’re right, you’re right I shouldn’t freak out.",neutral
"Now all you have to do is just get through a little bit more, okay?",neutral
"Oh, okay, yeah.  I put your stuff in her room, and her stuff in your room.",neutral
"No, from now on, I’m staying in one place.",neutral
I have to say you are a much bigger person than I am.,neutral
Enh. Sure!,neutral
Ha!,neutral
Coming.,neutral
What’s the other one?,neutral
"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings?",neutral
"Good morning.  Drake, it’s your brother Stryker. Can you hear me?",neutral
"All right, all right, I’m coming over, and I’m bringing Chinese food.",neutral
Oh.,neutral
But I can’t tell you.,neutral
How long have we been home?,neutral
Yeah?,neutral
"Yeah, apparently they’re turning it into some kinda coffee place.",neutral
"Um, but that’s okay, see we have an understanding, um, see we each have this list of five famous people,  so I’m allowed to sleep with you.",neutral
Y'know that whole swimming thing is a myth.,neutral
"Oh perfect, we were just gonna see if you wanted to go.",neutral
What does a guy have to,neutral
