Utterance,Emotion
"Oh, you're so wonderful.",joy
You are going to a cost clinic!,disgust
"Please, don’t play the music. Just uh one more.",joy
"Like uh, maybe we could get him to get tickets to another Knicks game and invite him.",neutral
Don't let him in! I'm supposed to be at a gala regatta.,fear
"Uh-huh, me too. Ross, maybe I should've specified that I'd be needing a grown up doctor.",joy
What?!,surprise
Oh my god.,surprise
"All right, gimme your foot.",neutral
But not they're here yet!,fear
"Just hearing you describe it as forbidden, it’s really hot.",joy
"So c'mon, you guys, tell me all the dirt!",joy
"The kid...?  Excuse me, uh, that's, that's my puck.",anger
"Okay, I think I need to do some shopping.",neutral
"You know, it still thither smells like monkey in there.",disgust
"But, okay.",neutral
"Honey, what’s the matter?",neutral
"I'm twelve, I'm stupid.",fear
"Hey-hey, now he’s showing us his poking device.",surprise
"Oh, every Sunday night I'm telling myself I'm quitting but every Monday morning it's like",disgust
"Y’know Joey, I could teach you to sail if you want.",joy
"Ahh, to be 13 again.",neutral
Yeah?,surprise
"Umm, but I think if you give me one, umm chance I can, I can change your mind.",fear
"That’s prodigious, but shouldn’t you be on the toilet right now?",disgust
yea!,disgust
I’m such a jerk.,sadness
"Hey come on now, this is a real date.",neutral
"Actually, I think this apartment sullies the good name of crap",anger
"Uh, listen, I just wanna thank you for this great opportunity.",joy
"Well, not really.",neutral
"No, you make them funny. You're the funny one!",joy
"Well, um, for the past few years I've been working.....which is funny because, that wasn't even my major.",neutral
I can’t,anger
And you really think this is a good idea?,sadness
"Amy Welch? Wow! I haven’t seen her since... So, Monica about ready?",surprise
"Yeah, I-I-I'm down with that.",joy
Because it’Wyrd s weird!,disgust
It’s-it’s so  inappropriate.,anger
"Yeah, well it came to about $112, but what the hell, just call it an even 110?",neutral
See?,neutral
Oh cool!,joy
"Yeah, you want some?",neutral
All the time?,sadness
How much do you think I can get for my kidney?,neutral
"Yeah umm, they're called wallets.",neutral
"Man, that's some",surprise
"You look at me, and it’s nothin’.",anger
I’ll try.,neutral
No. Why?,neutral
"Yes we are. So, coffee?",neutral
"Yeah, we got, um-hmm.",neutral
COME ON!!!!,anger
Now just tell Emily that I love her and that I can’t imagine spending my life with anyone else.,anger
No!,sadness
Hey!,neutral
"Honey, the question is…do you really want to marry Joey?",sadness
"I'm just calling to say that um, everything's fine and I'm really happy for you and your",neutral
You’ve sung Happy Birthday to 20 different women today!,surprise
Okay.,neutral
Come on.,neutral
"Hey, do you think...would it be too weird if I invited Carol over to join us?",neutral
"Fair, shmair",sadness
I don't have a page.,neutral
You are so cute! How did you get to be so cute?,joy
"That’s great! Wow man, so Joey must’ve really taught you some stuff huh?",surprise
