Utterance,Emotion
also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral
You must’ve had your hands full.,neutral
That I did. That I did.,neutral
So let’s talk a little bit about your duties.,neutral
My duties?  All right.,surprise
"Now you’ll be heading a whole division, so you’ll have a lot of duties.",neutral
I see.,neutral
But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,neutral
Good to know.,neutral
We can go into detail,neutral
No don’t I beg of you!,fear
"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral
Really?!,surprise
Absolutely.  You can relax,neutral
But then who? The waitress I went out with last month?,surprise
You know? Forget it!,sadness
"No-no-no-no, no! Who, who were you talking about?",surprise
"No, I-I-I-I don't, I actually don't know",fear
Ok!,neutral
"All right, well...",neutral
"Yeah, sure!",neutral
"Hey, Mon.",neutral
Hey-hey-hey. You wanna hear something that sucks.,neutral
Do I ever.,joy
Chris says they’re closing down the bar.,sadness
No way!,surprise
"Yeah, apparently they’re turning it into some kinda coffee place.",neutral
Just coffee! Where are we gonna hang out now?,disgust
Got me.,sadness
Can I get a beer.,neutral
"Hey, did you pick a roommate?",neutral
You betcha!,joy
Is it the Italian guy?,neutral
"Um-mm, yeah right!",joy
"Oh my God, oh my God! Poor Monica!",surprise
"What, what, what?!",surprise
What?!,surprise
He was with her when he wrote this poem.,neutral
"Look,  'My vessel so empty with nothing inside.",neutral
"Now that I've touched you, you seem emptier still.'",neutral
"He thinks Monica is empty, she is the empty vase!",surprise
"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness
Done.,neutral
Hey!,surprise
Hi!,joy
What are you doing here?,surprise
"Ah y'know, this building is on my paper route so I...",neutral
Oh.,neutral
Hi.,neutral
Hi.,neutral
How’d did it go?,neutral
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",joy
I’m so proud of you.,joy
Me too!,joy
"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness
I know.,neutral
Yeah.,neutral
Yeah.,neutral
Ameri-can.,neutral
Ameri-ccan.,neutral
Ameri-can. Y'know it’s a,neutral
Everybody!!,surprise
Good job Joe! Well done! Top notch!,joy
You liked it? You really liked it?,surprise
"Oh-ho-ho, yeah!",joy
Which part exactly?,neutral
The whole thing! Can we go?,neutral
"Oh no-no-no, give me some specifics.",anger
"I love the specifics, the specifics were the best part!",joy
"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral
I was surprised to see a kangaroo in a World War I epic.,surprise
You fell asleep!!,anger
There was no kangaroo!,anger
They didn’t take any of my suggestions!,anger
That’s for coming buddy.,neutral
I’ll see you later.,neutral
Don’t go!,sadness
I’m sorry.,sadness
I’m so sorry!,sadness
Look!,surprise
This guy fell asleep!,anger
He fell asleep too!,anger
Be mad at him!,anger
"Or, call an ambulance.",anger
"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral
"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",anger
"Yes, and it is my dying wish to have that ring.",neutral
"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral
"Okay, that’s enough honey!",neutral
I don’t know.  Let me see the ring.,neutral
"Great! Okay, here.",joy
All right.,neutral
Thank you. Thank you. Thank you!  And,joy
What've you been up to?,neutral
"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral
"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral
Can you hold on a moment? I have another call.  I love her.,joy
I know.,neutral
I'm back.,neutral
"So, are we gonna get together or what?",neutral
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral
"Great, I'll see you then.",neutral
Ok.  Ok. Having a phone has finally paid off.,joy
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral
Oh my god. You are pure evil.,disgust
"Ok, pure evil , horny and alone . I've done this",anger
Nobody!,anger
Nobody respects the bucket!,anger
You wouldn't believe what people put in here!,anger
Look!,anger
"Okay, does this look like a garbage can to you?",anger
No.,neutral
This is my wedding.,neutral
"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",anger
Fine. You’ll-you’ll watch it on video when we get back.,neutral
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy
Thank you.,neutral
Thank you.,neutral
"All right, let’s go! Bye, Pheebs!",joy
"Bye, Pheebs!",joy
London baby!!,joy
"Oh, do you need a hug? You don’t have to bring me anything!",joy
Hey!,neutral
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,joy
"That’s great, but shouldn’t you be on the toilet right now?",disgust
What?!,surprise
What’s wrong with you?,disgust
Nothing!,neutral
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",fear
"But um, I don’t think it’s anything serious.",neutral
This sounds like a hernia. You have to—you-you go to the doctor!,surprise
"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fear
That’s a hernia.,disgust
Why did I have to start working out again?  Damn you 15s!,anger
I love your place! Where is this guy from?,joy
Uh that’s an eighteenth century Indian artifact from Calcutta.,neutral
"Oh wow! So, you’re more than just dinosaurs.",surprise
So much more.,neutral
"Well, well to sum up, we’re having fun, you look young.",neutral
Okay,neutral
But that’s not enough. So… So…here’s a key to my apartment.,neutral
Really?!,surprise
Really.,neutral
You don’t think this is too fast.,neutral
Get Out!,anger
"Ross, can I talk to you for a minute?",neutral
"Yes, please!  So, what's going on?",neutral
"Uh, well... Joey and I broke up.",sadness
"Oh my God, wh-what happened?",surprise
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness
I knew that was him!,anger
"Anyway I just, uh, I think it's for the best.",sadness
"Hey, you ok?",neutral
I guess.,sadness
There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral
I started to realize that I was having feelings for someone  else.,neutral
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral
"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral
"Yeah, can you guys just throw him in the pool later?",neutral
Or we could throw you both in,joy
"Ok, gentlemen!",anger
Please!,anger
Aren't we a little old for this?,anger
"I mean, we're scientists, right?",neutral
We're academics.,anger
And most importantly I... you-you will have to catch us first.,joy
"GO, GO, GO!",joy
"Go, go, go!",joy
"Oh yeah, now everybody wants to be under this hat!",joy
Oy!!,disgust
What’s with all this sand?,surprise
"Oh, yeah, Bob said there might be flood damage.",neutral
"Yeah, either that, or he has a really big cat.",neutral
"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger
"Oh umm, my big scene is coming up. Big scene coming up.",joy
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral
Rach? What are you doing?,neutral
"Oh boy, I just can't watch. It's too scary!",fear
It's a diaper commercial.,neutral
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear
Pizza delivery!,joy
I'll get it! I will get that!,joy
Hi!,joy
Hi!,joy
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral
"Uhh, the ball thing.",neutral
Yeah?,neutral
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",joy
"Uhh,",neutral
Okay!,joy
Uh-oh.,fear
What?,neutral
I have to pee. And Rachel's in the bathroom!,sadness
"Man, I didn't think we were gonna make it!",surprise
"I know!  Don't switch hands, okay?",fear
Hey.,neutral
Hey!,neutral
How did it go with Erin?,neutral
"Oh, unbelievable! We had the best time!",joy
"Yay!! Oh so, you’re not, you’re not mad at us anymore?",joy
No!,joy
No!,joy
No!,joy
You guys were totally right!,joy
This is so much better than the first time we went out.,joy
Y’know?,neutral
"That was so awkward, we were really nervous.",neutral
Didn’t you sleep together?,neutral
"Yeah, that really calms me down.",neutral
And!,joy
We have so much in common!,joy
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",joy
"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise
Okay.,neutral
How does she do that?,surprise
I cannot sleep in a public place.,neutral
Would you look at her? She is so peaceful.,joy
Oh! What what what! ...Hi.,surprise
"It's okay, y'know, you just nodded off again.",neutral
What's going on with you?,surprise
I got no sleep last night!,anger
Why?,neutral
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust
"Oh, and deaf.",neutral
"So they're constantly, like, having to reassure each other that they're having a good time.",neutral
You have no idea how loud they are!,disgust
"Well, if you want, you can stay with Rachel and me tonight.",neutral
Thanks.,joy
Ew! What is that? Something exploded!,disgust
"It's just her water breaking. Calm down, will you?",neutral
"Water breaking, what do you mean? What's that, water breaking?",surprise
"Breathe, breathe, breathe.",neutral
"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprise
Okay! You don’t think I thought of that?,anger
How can you not know which one?,surprise
I mean that’s unbelievable.,joy
"I mean, was it Gina?",neutral
Which one is Gina?,neutral
"Dark, big hair, with the airplane earrings.",neutral
"No, no, no, that’s Dina.",neutral
"You see you can’t tell which one is which either, dwha!!",surprise
"I don’t know, you thought ‘See you Saturday’ was funny.",neutral
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral
You guys would never want to go to a lecture with me.,neutral
Pa-haa!! I would love to go with you.,joy
Really!?,surprise
"Yeah, hey I-I have clothes, I even pick them out.",neutral
"I mean for, for all you know I could be a fashion..... monger.",neutral
"Okay. Honey, I would love for you to go with me.  What?",joy
"What should I wear, now I’m all nervous.",fear
": I know, we did it!! Hey, that was incredible, huh?!",joy
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",joy
"Oh well, okay, good luck.",joy
: Yeah.,neutral
Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral
": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",neutral
Okay.,neutral
: Yeah.,neutral
Go get ‘em Treeger.,neutral
": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral
Really?,surprise
": Yeah, you could dance real good with her, she’s the same size as me.",neutral
"No, I’m good.",neutral
"Oh God, this is so nerve wracking! How-how do you do this?",surprise
"Well, unfortunately, I don't get many callbacks so",neutral
Is it a good sign that they asked us to hang around after the audition?,surprise
Who knows?,neutral
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral
Yes!! I knew it!!  Bye-bye! So long! Later!,joy
Oh this is great! I might actually get to play Ben's dad!,joy
Yeah!,joy
"Actually, that can't happen.",neutral
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral
So it'll be either you two  or you two.,neutral
"Man, this is gonna be kinda weird.",sadness
"Yeah, it is.",neutral
"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness
"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",joy
Please!,anger
Are you kidding?,anger
"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",anger
"And it’s all because of you, wonderful, amazing you.",joy
I think you’ve got concussion.,fear
"No, no, I’m serious. Thank you.",joy
You’re welcome.  I’m sorry. Did I hurt you?,fear
"It’s worth the pain.  Y’know what, you know what? It’s not.",sadness
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise
"I do! Want a hint? huh? ""I do""  ""I do"".",joy
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral
David is going to propose to Phoebe.,joy
What?  Why?,surprise
"Chandler, we have talked about this.",anger
You are not supposed to give people advice!,anger
Now couldn't you just have made some sort of inappropriate joke?,anger
I,neutral
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger
"Man, that's some",surprise
"Oh, that's not what you want...",neutral
"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral
It-it’s great to meet you Paul.,joy
I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,neutral
"Of course, of course, Mr. Stevens.",neutral
"So Ross, what your problem?",anger
Eh-wh—Excuse me?,surprise
Why can’t you get a girlfriend your own age?,anger
That’s funny. Umm….  It’s not funny.,fear
I,neutral
Okay.,neutral
"I can, I can see that.",neutral
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear
Okay.,neutral
What?,neutral
Okay. I’ll give you one chance to change my mind.  You got one minute.,anger
Daddy!,surprise
"Oh well, it’s not on TV yet.",neutral
"Well, then it’s not on the wall yet.",neutral
"Okay, fine, I will bring you a tape, huh?",neutral
"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",neutral
Ooooohh!,surprise
"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral
Was it...?,surprise
"Oh, boy scouts could have camped under there.",neutral
"""Ooo,"" what?",surprise
Uma Thurman.,neutral
Oh!,surprise
The actress!,surprise
Thanks Rach.,neutral
So what are you gonna do?,surprise
You have to tell her!,joy
You have to tell her!,joy
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger
Guys?,anger
Guys?,anger
"Oh, yeah, you have to tell her.",neutral
Feminist issue. That's where I went!,neutral
She is gonna hate me.,fear
"Yeah, well...",neutral
Will you marry me?,fear
It’s the big night! We wanted to wish you good luck!,joy
"Yeah, yeah you have the ring?",neutral
"Yeah, right here in my pocket.  Pheebs?",neutral
Oh! Oop!,surprise
"Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.",neutral
Yeah-yeah you guys. Get out of here!,neutral
Hi guys.,neutral
You are beautiful.,joy
"Oh, thank you!   What’s going on?",joy
We’re just really…very excited about this charity event that we have to go to.,neutral
"Okay umm, Ross?",neutral
"I'm-I'm really warm, so I'm going to be taking off my sweater.",neutral
"Now, I'm just letting you know that this is",neutral
Yep! That's hilarious!,joy
I'm sorry. I'm done. I'm done.,neutral
"Y'know, last night was embarrassing for you too.",neutral
"No, not really. I mean you've seen me naked hundreds of times.",neutral
Uh-huh. But it was a first for the rest of my building.,neutral
"Okay. All right, that's true! But y'know I just don't embarrass that easily.",neutral
What?! You totally get embarrassed!,surprise
"No, I don't! Ross, I think I'm just a more secure person than you are.",neutral
Is that so?,neutral
Yeah.,neutral
Hey lady! I don't care how much you want it! Okay?! I am,disgust
I can’t believe it!,surprise
I did it!,joy
I rode a bike!,joy
I never thought I’d be able to do that!,joy
Thank you Ross.,joy
"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them.",joy
"Hey, both you guys should be up there with me.",neutral
"I mean, you two are-are my… I mean, I’m lucky to have just one good",neutral
Thanks man.,neutral
I gotta go check something over here.,neutral
What a baby.,sadness
Total wuss!,sadness
"Okay, we have a lot of options here, a number of prototypes for you to try on.",neutral
Wow! This looks great!,joy
"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",joy
And-and-and-and-and the toothpicks?,disgust
You kissed another woman!,anger
Call it even?!,neutral
Okay!,joy
"Well, I’m gonna go get these  in some water.",neutral
Wait you stole those from these people’s wedding?,surprise
"No-no, I took them from the hotel lobby.",neutral
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",anger
Hey!,surprise
My sweater!,surprise
I’ve been looking for this for like a month!,surprise
Oh my God!!,surprise
Oh my God!,surprise
Happy?! Is that what I’m supposed to be Vic? Happy?,anger
"Well, why don’t you tell me what you’re supposed to be!",anger
Huh?,surprise
Because I sure as hell can’t figure it out!,anger
I talk to you and nothin’.,anger
"You look at me, and it’s nothin’.",anger
Nothing.,anger
"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",joy
I have a question about this scene.,neutral
Yes?,neutral
"Well, I don’t understand why Adrienne’s attracted to Victor.",disgust
"Peel the onion. First of all, he’s good looking.",neutral
Yeah.,neutral
I think my character’s gonna need a little bit more of reason than that.,neutral
"Oh, hey, how about this one.",neutral
"Ah, it’s says so in the script!",anger
"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.",anger
It doesn’t say that in the script.,anger
It does in mine!,anger
I can’t,anger
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,anger
Y’know who has a great video camera?,neutral
Greg and Jenny?,neutral
Do you still wanna call ‘em? I wanna call ‘em.,neutral
Let’s call ‘em.,neutral
